pk_locations_id,location
1,Pallet Town
2,Viridian City
3,Pewter City
4,Cerulean City
5,Lavender Town
6,Vermilion City
7,Celadon City
8,Fuchsia City
9,Cinnabar Island
10,Indigo Plateau
11,Saffron City
12,Route 1
13,Route 2
14,Route 3
15,Route 4
16,Route 5
17,Route 6
18,Route 7
19,Route 8
20,Route 9
21,Route 10
22,Route 11
23,Route 12
24,Route 13
25,Route 14
26,Route 15
27,Route 16
28,Route 17
29,Route 18
30,Route 19
31,Route 20
32,Route 21
33,Route 22
34,Route 23
35,Route 24
36,Route 25
37,Viridian Forest
38,Mt. Moon
39,Rock Tunnel
40,Sea Cottage
41,S.S. Anne
42,Pokémon League 
43,Underground Path
44,Pokémon Tower
45,Seafoam Islands
46,Victory Road 
47,Diglett's Cave
48,Team Rocket Hideout
49,Silph Co.
50,Pokémon Mansion
51,Safari Zone
52,Cerulean Cave
53,Power Plant
54,Safari Zone - Area 1
55,Safari Zone - Area 2
56,Safari Zone - Area 3
57,Safari Zone - Area 4
58,Cerulean Cave - 1F
59,Cerulean Cave - 2F
60,Cerulean Cave - B1F
61,Diglett's Cave - 1F
62,Diglett's Cave - B1F
63,Mt. Moon - 1F
64,Mt. Moon - B1F
65,Mt. Moon - B2F
66,Rock Tunnel - 1F
67,Rock Tunnel - B1F
68,Seafoam Islands - 1F
69,Seafoam Islands - B1F
70,Seafoam Islands - B2F
71,Seafoam Islands - B3F
72,Seafoam Islands - B4F
73,Victory Road - 1F
74,Victory Road - 2F
75,Victory Road - 3F
76,Celadon Game Corner
77,Fighting Dojo
78,Pokemon Mansion - 1F
79,Pokemon Mansion - 2F
80,Pokemon Mansion - 3F
81,Pokemon Mansion - B1F
82,Pokemon Tower - 2F
83,Pokemon Tower - 3F
84,Pokemon Tower - 4F
85,Pokemon Tower - 5F
86,Pokemon Tower - 6F
87,Pokemon Tower - 7F
88,S.S. Anne - 1F
89,S.S. Anne - 2F
90,S.S. Anne - 3F
91,S.S. Anne - B1F
92,Silph Co. - 10F
93,Silph Co. - 11F
94,Silph Co. - 2F
95,Silph Co. - 3F
96,Silph Co. - 4F
97,Silph Co. - 5F
98,Silph Co. - 6F
99,Silph Co. - 7F
100,Silph Co. - 8F
101,Silph Co. - 9F
102,Team Rocket Hideout - B1F
103,Team Rocket Hideout - B2F
104,Team Rocket Hideout - B3F
105,Team Rocket Hideout - B4F
106,Victory Road – 1F
107,Victory Road – 2F
108,Victory Road – 3F
